function,module,line,snippet
tally_report_period_text,Masters / Common,25258,function tally_report_period_text(
tally_report_as_on_text,Masters / Common,25261,function tally_report_as_on_text(
tally_group_rows,Masters / Common,25264,function tally_group_rows(
tally_stock_detail_rows,Inventory,25277,function tally_stock_detail_rows(
tally_rows_amount,Masters / Common,25288,function tally_rows_amount(
render_tally_statement_group,Masters / Common,25293,function render_tally_statement_group(
profit_loss_page,Masters / Common,25321,function profit_loss_page(
erp_profit_loss_page,Masters / Common,25545,function erp_profit_loss_page(
stock_ledger_adjustment_page,Inventory,25549,function stock_ledger_adjustment_page(
erp_balance_sheet_page,Masters / Common,25606,function erp_balance_sheet_page(
gst_state_code,GST / Compliance,25728,function gst_state_code(
transaction_same_state,Masters / Common,25743,function transaction_same_state(
gst_split_amount,GST / Compliance,25753,function gst_split_amount(
gst_period_from_date,GST / Compliance,25759,function gst_period_from_date(
gst_round,GST / Compliance,25762,function gst_round(
gstr1_item_details,Inventory,25765,function gstr1_item_details(
gstr1_doc_issue,GST / Compliance,25783,function gstr1_doc_issue(
gstr1_utility_payload,GST / Compliance,25799,function gstr1_utility_payload(
gst_itc_source_options,GST / Compliance,25896,function gst_itc_source_options(
gst_itc_status_options,GST / Compliance,25904,function gst_itc_status_options(
gst_itc_invoice_key,GST / Compliance,25912,function gst_itc_invoice_key(
gst_itc_number,GST / Compliance,25915,function gst_itc_number(
gst_itc_date,GST / Compliance,25921,function gst_itc_date(
gst_itc_row_value,GST / Compliance,25935,function gst_itc_row_value(
gst_itc_find_purchase,Purchase,25942,function gst_itc_find_purchase(
gst_itc_match_status,GST / Compliance,25960,function gst_itc_match_status(
gst_itc_import_rows,GST / Compliance,25970,function gst_itc_import_rows(
gst_itc_reconciliation_rows,GST / Compliance,26011,function gst_itc_reconciliation_rows(
gst_itc_missing_portal_rows,GST / Compliance,26023,function gst_itc_missing_portal_rows(
gst_itc_reconciliation_page,GST / Compliance,26035,function gst_itc_reconciliation_page(
gstr9_financial_year_options,GST / Compliance,26118,function gstr9_financial_year_options(
gstr9_period_status_rows,GST / Compliance,26126,function gstr9_period_status_rows(
gstr9_annual_return_page,GST / Compliance,26148,function gstr9_annual_return_page(
gst_return_page,GST / Compliance,26267,function gst_return_page(
item_movement_rows,Inventory,26623,function item_movement_rows(
item_movement_page,Inventory,26660,function item_movement_page(
reports_page,Masters / Common,26734,function reports_page(
users_page,Administration,26831,function users_page(
permission_catalog,Administration,26867,function permission_catalog(
role_permissions_page,Administration,26881,function role_permissions_page(
dev_company_modules,Administration,26953,function dev_company_modules(
plan_feature_codes,Masters / Common,26960,function plan_feature_codes(
business_plan_feature_codes,Masters / Common,26964,function business_plan_feature_codes(
sync_dev_company_modules_for_business,Administration,26970,function sync_dev_company_modules_for_business(
apply_print_defaults_for_business,Print / Documents,26975,function apply_print_defaults_for_business(
apply_invoice_template_to_business_type,Masters / Common,26992,function apply_invoice_template_to_business_type(
apply_business_type_to_current_company,Administration,27016,function apply_business_type_to_current_company(
dev_sync_local_company_from_dev,Administration,27031,function dev_sync_local_company_from_dev(
developer_dashboard_tabs,Administration,27064,function developer_dashboard_tabs(
business_type_ui_field_alias,Masters / Common,27076,function business_type_ui_field_alias(
business_type_normalized_ui_fields,Masters / Common,27096,function business_type_normalized_ui_fields(
business_type_required_ui_fields,Masters / Common,27099,function business_type_required_ui_fields(
business_type_ui_field_surface,Masters / Common,27108,function business_type_ui_field_surface(
business_type_menu_status,Masters / Common,27138,function business_type_menu_status(
business_type_ui_audit_rows,Masters / Common,27143,function business_type_ui_audit_rows(
developer_dashboard_handle_post,Sales,27182,function developer_dashboard_handle_post(
developer_dashboard_page,Administration,27719,function developer_dashboard_page(
lan_setup_page,Masters / Common,28403,function lan_setup_page(
backup_page,Administration,28452,function backup_page(
