function,module,line,snippet
next_unique_barcode,Masters / Common,4414,function next_unique_barcode(
item_requires_batch,Inventory,4422,function item_requires_batch(
item_requires_expiry,Inventory,4425,function item_requires_expiry(
assert_purchase_batch_rules,Purchase,4428,function assert_purchase_batch_rules(
assert_issue_batch_rules,Inventory,4437,function assert_issue_batch_rules(
import_master_row_errors,Masters / Common,4451,function import_master_row_errors(
assert_import_master_rows_valid,Masters / Common,4489,function assert_import_master_rows_valid(
business_fssai_required_codes,Masters / Common,4496,function business_fssai_required_codes(
business_requires_fssai,Masters / Common,4499,function business_requires_fssai(
business_fssai_requirement_label,Masters / Common,4502,function business_fssai_requirement_label(
rows,Masters / Common,4507,function rows(
one,Masters / Common,4508,function one(
doc_exists,Masters / Common,4509,function doc_exists(
go,Masters / Common,4520,function go(
audit,Masters / Common,4521,function audit(
record_print_open,Print / Documents,4538,function record_print_open(
flash,Masters / Common,4564,function flash(
user_error_message,Administration,4568,function user_error_message(
setting_get,Administration,4576,function setting_get(
setting_set,Administration,4586,function setting_set(
app_short_cache_remember,Masters / Common,4602,function app_short_cache_remember(
dashboard_cache_clear,Masters / Common,4627,function dashboard_cache_clear(
dashboard_cache_clear_for_action,Masters / Common,4639,function dashboard_cache_clear_for_action(
setting_yes,Administration,4649,function setting_yes(
allow_negative_stock,Inventory,4652,function allow_negative_stock(
print_settings,Administration,4655,function print_settings(
print_body_class,Print / Documents,4669,function print_body_class(
page_print_body_classes,Print / Documents,4680,function page_print_body_classes(
page_print_page_css,Print / Documents,4695,function page_print_page_css(
current_print_format_label,Print / Documents,4702,function current_print_format_label(
print_action_label,Print / Documents,4709,function print_action_label(
print_format_badge,Print / Documents,4713,function print_format_badge(
page_body_class,Masters / Common,4718,function page_body_class(
backup_table_names,Administration,4754,function backup_table_names(
complete_backup_table_names,Administration,4757,function complete_backup_table_names(
make_backup_payload,Administration,4760,function make_backup_payload(
backup_log,Administration,4768,function backup_log(
encrypt_backup_payload,Administration,4776,function encrypt_backup_payload(
decrypt_backup_payload,Administration,4802,function decrypt_backup_payload(
create_backup_file,Administration,4824,function create_backup_file(
data_maintenance_dir,Masters / Common,4858,function data_maintenance_dir(
data_maintenance_user_label,Administration,4867,function data_maintenance_user_label(
require_data_maintenance_password,Masters / Common,4872,function require_data_maintenance_password(
data_maintenance_report_write,Masters / Common,4883,function data_maintenance_report_write(
data_maintenance_log_insert,Masters / Common,4892,function data_maintenance_log_insert(
data_maintenance_log_update,Masters / Common,4898,function data_maintenance_log_update(
data_maintenance_archive_definitions,Print / Documents,4903,function data_maintenance_archive_definitions(
data_maintenance_selected_modules,Masters / Common,5020,function data_maintenance_selected_modules(
data_maintenance_validate_dates,Masters / Common,5030,function data_maintenance_validate_dates(
data_maintenance_group_where,Masters / Common,5042,function data_maintenance_group_where(
data_maintenance_count_group,Masters / Common,5050,function data_maintenance_count_group(
data_maintenance_archive_preview,Print / Documents,5063,function data_maintenance_archive_preview(
data_maintenance_fetch_group_rows,Masters / Common,5096,function data_maintenance_fetch_group_rows(
data_maintenance_table_columns,Masters / Common,5109,function data_maintenance_table_columns(
xlsx_escape,Masters / Common,5113,function xlsx_escape(
xlsx_col_name,Masters / Common,5117,function xlsx_col_name(
xlsx_sheet_xml,Masters / Common,5127,function xlsx_sheet_xml(
write_xlsx_workbook,Masters / Common,5173,function write_xlsx_workbook(
data_maintenance_rows_for_xlsx,Masters / Common,5224,function data_maintenance_rows_for_xlsx(
data_maintenance_export_archive,Print / Documents,5233,function data_maintenance_export_archive(
data_maintenance_create_opening_snapshots,Masters / Common,5279,function data_maintenance_create_opening_snapshots(
