table	column	type	nullable	default	key	extra
dev_login_history	company_id	INTEGER	YES			
dev_login_history	user_id	INTEGER	YES			
dev_login_history	user_name	TEXT	YES			
dev_login_history	email	TEXT	YES			
dev_login_history	ip_address	TEXT	YES			
dev_login_history	status	TEXT	YES			
dev_login_history	logged_at	TEXT	YES			
dev_modules	id	INTEGER	YES		PRI	
dev_modules	code	TEXT	YES			
dev_modules	name	TEXT	YES			
dev_modules	description	TEXT	YES			
dev_modules	is_active	INTEGER	YES			
dev_modules	created_at	TEXT	YES			
dev_notifications	id	INTEGER	YES		PRI	
dev_notifications	title	TEXT	YES			
dev_notifications	message	TEXT	YES			
dev_notifications	audience	TEXT	YES			
dev_notifications	status	TEXT	YES			
dev_notifications	created_at	TEXT	YES			
dev_subscription_plans	id	INTEGER	YES		PRI	
dev_subscription_plans	code	TEXT	YES			
dev_subscription_plans	name	TEXT	YES			
dev_subscription_plans	user_limit	INTEGER	YES			
dev_subscription_plans	branch_limit	INTEGER	YES			
dev_subscription_plans	storage_limit_mb	INTEGER	YES			
dev_subscription_plans	invoice_limit	INTEGER	YES			
dev_subscription_plans	api_access	INTEGER	YES			
dev_subscription_plans	monthly_fee	REAL	YES			
dev_subscription_plans	module_codes	TEXT	YES			
dev_subscription_plans	is_active	INTEGER	YES			
dev_subscription_plans	created_at	TEXT	YES			
developer_login_attempts	id	INTEGER	YES		PRI	
developer_login_attempts	attempted_at	TEXT	YES			
developer_login_attempts	username	TEXT	YES			
developer_login_attempts	machine_hash	TEXT	YES			
developer_login_attempts	success	INTEGER	YES			
developer_login_attempts	reason	TEXT	YES			
developer_login_attempts	app_version	TEXT	YES			
dispatch_return_items	id	INTEGER	YES		PRI	
dispatch_return_items	dispatch_return_id	INTEGER	YES			
dispatch_return_items	source_table	TEXT	YES			
dispatch_return_items	source_id	INTEGER	YES			
dispatch_return_items	source_item_id	INTEGER	YES			
dispatch_return_items	item_id	INTEGER	YES			
dispatch_return_items	item_name	TEXT	YES			
dispatch_return_items	unit	TEXT	YES			
dispatch_return_items	company	TEXT	YES			
dispatch_return_items	dispatched_qty	REAL	YES			
dispatch_return_items	free_qty	REAL	YES			
dispatch_return_items	returned_qty	REAL	YES			
dispatch_return_items	accepted_qty	REAL	YES			
dispatch_return_items	damaged_qty	REAL	YES			
dispatch_return_items	rate	REAL	YES			
dispatch_return_items	value	REAL	YES			
dispatch_return_items	condition_type	TEXT	YES			
dispatch_return_items	reason	TEXT	YES			
dispatch_return_items	remarks	TEXT	YES			
dispatch_return_items	warehouse_id	INTEGER	YES			
dispatch_return_items	pack_id	INTEGER	YES			
dispatch_return_items	pack_display_snapshot	TEXT	YES			
dispatch_return_items	pack_size_snapshot	REAL	YES			
dispatch_returns	id	INTEGER	YES		PRI	
dispatch_returns	return_no	TEXT	YES			
dispatch_returns	return_date	TEXT	YES			
dispatch_returns	source_table	TEXT	YES			
dispatch_returns	source_id	INTEGER	YES			
dispatch_returns	source_ref	TEXT	YES			
dispatch_returns	customer_name	TEXT	YES			
dispatch_returns	route	TEXT	YES			
dispatch_returns	area	TEXT	YES			
dispatch_returns	vehicle	TEXT	YES			
dispatch_returns	dispatch_status_before	TEXT	YES			
dispatch_returns	dispatch_status_after	TEXT	YES			
dispatch_returns	total_dispatched_qty	REAL	YES			
dispatch_returns	total_returned_qty	REAL	YES			
dispatch_returns	total_accepted_qty	REAL	YES			
dispatch_returns	damaged_qty	REAL	YES			
dispatch_returns	total_value	REAL	YES			
dispatch_returns	reason	TEXT	YES			
dispatch_returns	condition_type	TEXT	YES			
dispatch_returns	notes	TEXT	YES			
dispatch_returns	sale_return_id	INTEGER	YES			
dispatch_returns	stock_impact	TEXT	YES			
dispatch_returns	accounting_impact	TEXT	YES			
dispatch_returns	status	TEXT	YES			
dispatch_returns	created_by	INTEGER	YES			
dispatch_returns	created_by_name	TEXT	YES			
dispatch_returns	updated_by	INTEGER	YES			
dispatch_returns	updated_by_name	TEXT	YES			
dispatch_returns	created_at	TEXT	YES			
dispatch_returns	updated_at	TEXT	YES			
document_archive_logs	id	INTEGER	YES		PRI	
document_archive_logs	user_id	INTEGER	YES			
document_archive_logs	user_name	TEXT	YES			
document_archive_logs	company_id	INTEGER	YES			
document_archive_logs	company_name	TEXT	YES			
document_archive_logs	module	TEXT	YES			
document_archive_logs	document_type	TEXT	YES			
document_archive_logs	document_no	TEXT	YES			
document_archive_logs	party_name	TEXT	YES			
document_archive_logs	action	TEXT	YES			
document_archive_logs	status	TEXT	YES			
document_archive_logs	file_count	INTEGER	YES			
document_archive_logs	total_size	INTEGER	YES			
document_archive_logs	root_path	TEXT	YES			
document_archive_logs	folder_path	TEXT	YES			
document_archive_logs	files_json	TEXT	YES			
document_archive_logs	message	TEXT	YES			
document_archive_logs	created_at	TEXT	YES			
einvoices	id	INTEGER	YES		PRI	
einvoices	sale_id	INTEGER	YES			
einvoices	invoice_no	TEXT	YES			
einvoices	irn	TEXT	YES			
einvoices	ack_no	TEXT	YES			
einvoices	ack_date	TEXT	YES			
einvoices	signed_qr	TEXT	YES			
einvoices	signed_json	TEXT	YES			
einvoices	status	TEXT	YES			
einvoices	cancel_reason	TEXT	YES			
einvoices	cancelled_at	TEXT	YES			
einvoices	created_at	TEXT	YES			
